Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-07-18,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-18,La Paz,Calacoto,Frutas y Verduras,100.4451,48.6,0.4450999999999965,0.046923645368973865
2026-07-19,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-19,La Paz,Calacoto,Abarrotes,89.7373,26.66,-10.262699999999995,0.004380727039517307
2026-07-19,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-19,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-19,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,-0.04482050393697645
2026-07-19,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-20,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-20,La Paz,Calacoto,Abarrotes,89.6235,26.7,-10.376499999999993,-0.0012681460217768281
2026-07-20,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-20,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-20,La Paz,Calacoto,Frutas y Verduras,95.9431,58.82,-4.056899999999999,0.0
2026-07-20,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-21,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-21,La Paz,Calacoto,Abarrotes,89.5562,26.63,-10.443799999999996,-0.0007509191227748069
2026-07-21,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-21,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-21,La Paz,Calacoto,Frutas y Verduras,95.9979,59.44,-4.002099999999999,0.0005711718716614467
2026-07-21,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-22,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-22,La Paz,Calacoto,Abarrotes,89.5158,26.3,-10.484200000000001,-0.0004511133790848776
2026-07-22,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-22,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-22,La Paz,Calacoto,Frutas y Verduras,96.2088,57.65,-3.7912000000000035,0.002196923057691924
2026-07-22,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-23,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-23,La Paz,Calacoto,Abarrotes,89.5158,26.3,-10.484200000000001,0.0
2026-07-23,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-23,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-23,La Paz,Calacoto,Frutas y Verduras,96.2088,57.65,-3.7912000000000035,0.0
2026-07-23,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-24,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-24,La Paz,Calacoto,Abarrotes,89.6409,26.11,-10.359099999999998,0.0013975186503387693
2026-07-24,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-24,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-24,La Paz,Calacoto,Frutas y Verduras,95.9651,71.41,-4.034899999999993,-0.00253303232136759
2026-07-24,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-25,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-25,La Paz,Calacoto,Abarrotes,89.8572,26.46,-10.142799999999994,0.0024129610479146635
2026-07-25,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-25,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-25,La Paz,Calacoto,Frutas y Verduras,96.0183,70.29,-3.9817000000000036,0.000554368202606792
2026-07-25,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-26,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-26,La Paz,Calacoto,Abarrotes,90.5044,27.11,-9.495599999999996,0.007202539139879782
2026-07-26,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-07-26,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-26,La Paz,Calacoto,Frutas y Verduras,95.9563,69.5,-4.043700000000001,-0.0006457102448178542
2026-07-26,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-28,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-28,La Paz,Calacoto,Abarrotes,100.0,23.66,0.0,0.10491865588855354
2026-07-28,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-07-28,La Paz,Calacoto,Frutas y Verduras,86.2863,83.96,-13.713700000000003,-0.10077504030480544
2026-07-28,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-29,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-29,La Paz,Calacoto,Abarrotes,90.3011,26.9,-9.698899999999995,-0.09698899999999999
2026-07-29,La Paz,Calacoto,Bebidas,100.0,24.9,0.0,0.0
2026-07-29,La Paz,Calacoto,Frutas y Verduras,86.2863,83.96,-13.713700000000003,0.0
2026-07-29,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-08-03,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-08-03,La Paz,Calacoto,Abarrotes,99.6727,21.88,-0.32729999999999393,0.10378168150775569
2026-08-03,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-08-03,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-08-03,La Paz,Calacoto,Frutas y Verduras,100.0,89.6,0.0,0.15893253042487632
2026-08-04,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-08-04,La Paz,Calacoto,Abarrotes,90.8248,27.88,-9.175200000000004,-0.08876954271330073
2026-08-04,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-08-04,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-08-04,La Paz,Calacoto,Frutas y Verduras,86.3698,84.04,-13.630200000000002,-0.13630200000000003
2026-08-04,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-08-05,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-08-05,La Paz,Calacoto,Abarrotes,90.8248,27.88,-9.175200000000004,0.0
2026-08-05,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-08-05,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-08-05,La Paz,Calacoto,Frutas y Verduras,100.0,89.6,0.0,0.1578121056202515
2026-08-06,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-08-06,La Paz,Calacoto,Abarrotes,99.7824,13.48,-0.21760000000000446,0.09862504514185555
2026-08-06,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-08-06,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-08-06,La Paz,Calacoto,Frutas y Verduras,100.0,89.6,0.0,0.0
2026-08-06,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-08-07,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-08-07,La Paz,Calacoto,Abarrotes,90.7557,28.24,-9.244299999999996,-0.09046384933615537
2026-08-07,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-08-07,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-08-07,La Paz,Calacoto,Frutas y Verduras,100.0,89.6,0.0,0.0
2026-08-07,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-08-08,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-08-08,La Paz,Calacoto,Abarrotes,99.76,26.54,-0.23999999999999488,0.09921470497169871
2026-08-08,La Paz,Calacoto,Bebidas,100.0,33.78,0.0,0.0
2026-08-08,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-08-08,La Paz,Calacoto,Frutas y Verduras,86.3698,84.04,-13.630200000000002,-0.13630200000000003
2026-08-08,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-08-09,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-08-09,La Paz,Calacoto,Abarrotes,87.9397,17.5,-12.060299999999998,-0.11848736968724938
2026-08-09,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-08-09,La Paz,Calacoto,Frutas y Verduras,86.3698,84.04,-13.630200000000002,0.0
2026-08-09,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-08-10,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
